arch,seed,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
widelenet,42,1e-06,diag,0.1,probit,15,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,0.1082882434129715,0.012420447543263435,0.9728000164031982,0.047014228999614716
widelenet,42,1e-06,diag,0.1,probit,30,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,0.5584455132484436,0.06761099398136139,0.8686000108718872,0.21356292068958282
widelenet,42,1e-06,diag,0.1,probit,45,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,1.7773391008377075,0.19457051157951355,0.6297000050544739,0.5816503167152405
widelenet,42,1e-06,diag,0.1,probit,60,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,3.1110033988952637,0.3761292099952698,0.36800000071525574,0.9733715653419495
widelenet,42,1e-06,diag,0.1,probit,90,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,4.552868843078613,0.5324837565422058,0.1670999974012375,1.2705214023590088
widelenet,42,1e-06,diag,0.1,probit,120,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,4.676969528198242,0.5201285481452942,0.2272000014781952,1.227226972579956
widelenet,42,1e-06,diag,0.1,probit,160,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,4.391035556793213,0.48012447357177734,0.3407000005245209,1.1049541234970093
widelenet,42,1e-06,diag,0.1,probit,180,0.034934740513563156,0.005311504937708378,0.991100013256073,0.01532834768295288,5.012653350830078,0.49769192934036255,0.37279999256134033,1.0995194911956787
widelenet,123,1e-06,diag,0.1,probit,5,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,0.06148034706711769,0.007793547585606575,0.9861000180244446,0.025137336924672127
widelenet,123,1e-06,diag,0.1,probit,15,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,0.111310213804245,0.011596482247114182,0.972000002861023,0.046839263290166855
widelenet,123,1e-06,diag,0.1,probit,30,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,0.4689549207687378,0.045912276953458786,0.8859000205993652,0.18003538250923157
widelenet,123,1e-06,diag,0.1,probit,45,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,1.4922568798065186,0.14248009026050568,0.6794000267982483,0.5023961663246155
widelenet,123,1e-06,diag,0.1,probit,60,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,2.7342159748077393,0.27577224373817444,0.4196000099182129,0.8645767569541931
widelenet,123,1e-06,diag,0.1,probit,90,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,4.462069988250732,0.45458918809890747,0.18170000612735748,1.2090792655944824
widelenet,123,1e-06,diag,0.1,probit,120,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,5.087456226348877,0.474389910697937,0.25920000672340393,1.184880256652832
widelenet,123,1e-06,diag,0.1,probit,160,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,5.217729568481445,0.5073897838592529,0.33090001344680786,1.143378734588623
widelenet,123,1e-06,diag,0.1,probit,180,0.039331987500190735,0.005697184707969427,0.9919000267982483,0.01568085514008999,5.69450044631958,0.4717671275138855,0.3801000118255615,1.070860505104065
widelenet,0,1e-06,diag,0.1,bridge,5,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,12.402436256408691,0.6275689005851746,0.3506999909877777,1.2686195373535156
widelenet,0,1e-06,diag,0.1,bridge,15,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,10.278558731079102,0.5871734023094177,0.38260000944137573,1.1909927129745483
widelenet,0,1e-06,diag,0.1,bridge,30,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,12.058835983276367,0.6520134210586548,0.31470000743865967,1.324218511581421
widelenet,0,1e-06,diag,0.1,bridge,45,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,14.832151412963867,0.7569120526313782,0.20550000667572021,1.5365041494369507
widelenet,0,1e-06,diag,0.1,bridge,60,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,16.953298568725586,0.8296846151351929,0.12950000166893005,1.681846261024475
widelenet,0,1e-06,diag,0.1,bridge,90,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,21.120738983154297,0.8854422569274902,0.08110000193119049,1.7931241989135742
widelenet,0,1e-06,diag,0.1,bridge,120,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,17.725019454956055,0.8252727389335632,0.12300000339746475,1.6779427528381348
widelenet,0,1e-06,diag,0.1,bridge,160,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,16.474824905395508,0.8135188817977905,0.1339000016450882,1.653559923171997
widelenet,0,1e-06,diag,0.1,bridge,180,11.954353332519531,0.5927867293357849,0.3831000030040741,1.2014702558517456,18.704160690307617,0.8185667991638184,0.1469999998807907,1.656690001487732
widelenet,42,1e-06,diag,0.1,bridge,5,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,13.678299903869629,0.6473714113235474,0.33160001039505005,1.3076696395874023
widelenet,42,1e-06,diag,0.1,bridge,15,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,11.8136625289917,0.6097440719604492,0.36469998955726624,1.2339591979980469
widelenet,42,1e-06,diag,0.1,bridge,30,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,12.183019638061523,0.6410332322120667,0.3264999985694885,1.3001766204833984
widelenet,42,1e-06,diag,0.1,bridge,45,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,14.6513090133667,0.7306157946586609,0.22910000383853912,1.4865047931671143
widelenet,42,1e-06,diag,0.1,bridge,60,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,16.404584884643555,0.8087866902351379,0.1436000019311905,1.645273208618164
widelenet,42,1e-06,diag,0.1,bridge,90,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,19.76227378845215,0.8483592867851257,0.11500000208616257,1.7171428203582764
widelenet,42,1e-06,diag,0.1,bridge,120,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,18.57046127319336,0.8246289491653442,0.1370999962091446,1.6704994440078735
widelenet,42,1e-06,diag,0.1,bridge,160,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,13.958545684814453,0.6997061967849731,0.24809999763965607,1.4316365718841553
widelenet,42,1e-06,diag,0.1,bridge,180,13.732784271240234,0.6335804462432861,0.3467999994754791,1.2796205282211304,15.811373710632324,0.730205237865448,0.22939999401569366,1.483459711074829
widelenet,123,1e-06,diag,0.1,bridge,5,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,10.218771934509277,0.5677868127822876,0.4043000042438507,1.152147889137268
widelenet,123,1e-06,diag,0.1,bridge,15,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,10.69476318359375,0.6159235239028931,0.3513000011444092,1.250167727470398
widelenet,123,1e-06,diag,0.1,bridge,30,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,11.509145736694336,0.6669054627418518,0.29339998960494995,1.3570317029953003
widelenet,123,1e-06,diag,0.1,bridge,45,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,13.855956077575684,0.7694698572158813,0.17649999260902405,1.5703247785568237
widelenet,123,1e-06,diag,0.1,bridge,60,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,17.13480567932129,0.8609729409217834,0.08860000222921371,1.7495383024215698
widelenet,123,1e-06,diag,0.1,bridge,90,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,20.585941314697266,0.8720606565475464,0.08659999817609787,1.7670398950576782
widelenet,123,1e-06,diag,0.1,bridge,120,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,17.303640365600586,0.7975208163261414,0.14820000529289246,1.6265082359313965
widelenet,123,1e-06,diag,0.1,bridge,160,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,14.312990188598633,0.6984567642211914,0.23970000445842743,1.4376990795135498
widelenet,123,1e-06,diag,0.1,bridge,180,11.62833309173584,0.5894250869750977,0.38690000772476196,1.192775011062622,16.13555908203125,0.7313324809074402,0.21879999339580536,1.4938055276870728
