arch,prior_precision,hessian_structure,temperature,link_approx,rotation,nll_id,ece_id,acc_id,brier_id,nll_ood,ece_ood,acc_ood,brier_ood
resnet18,0.0001,diag,1.0,bridge,45,1.9297565271457036,0.11547321577866866,0.8462999860445658,0.27238960812489194,2.105112910270691,0.24040201803048447,0.5924666523933411,0.6521279017130533
resnet18,0.0001,diag,1.0,bridge,80,1.9297565271457036,0.11547321577866866,0.8462999860445658,0.27238960812489194,4.67121426264445,0.5704037547111511,0.18906666835149125,1.3025332689285278
resnet18,0.0001,diag,1.0,bridge,170,1.9297565271457036,0.11547321577866866,0.8462999860445658,0.27238960812489194,3.6515324910481772,0.4389343162377675,0.41743333141009015,0.9952991406122843
resnet18,0.0001,diag,1.0,probit,15,1.0471694668134053,0.5441051920255026,0.9904999931653341,0.4306334654490153,0.8678183952967325,0.44081490238507587,0.972600003083547,0.35142510135968524
resnet18,0.0001,diag,1.0,probit,45,1.0471694668134053,0.5441051920255026,0.9904999931653341,0.4306334654490153,1.4736475547154744,0.15773988266785935,0.6292000015576681,0.6155017813046774
resnet18,0.0001,diag,1.0,probit,80,1.0471694668134053,0.5441051920255026,0.9904999931653341,0.4306334654490153,2.5279225508371987,0.2699691752592722,0.1925999969244003,1.0081739226977031
resnet18,0.0001,diag,1.0,probit,170,1.0471694668134053,0.5441051920255026,0.9904999931653341,0.4306334654490153,2.206022262573242,0.22506660719712576,0.3928333322207133,0.8816843032836914
resnet18,0.0001,kron,0.1,bridge,15,0.0348996818065643,0.0050597665831446,0.9907666643460592,0.0151792280375957,0.10305082301298774,0.0120014610389868,0.973466674486796,0.04278660193085663
resnet18,0.0001,kron,0.1,bridge,45,0.0348996818065643,0.0050597665831446,0.9907666643460592,0.0151792280375957,1.6962783336639404,0.21741912265618635,0.6297333439191183,0.5851269364356995
resnet18,0.0001,kron,0.1,bridge,80,0.0348996818065643,0.0050597665831446,0.9907666643460592,0.0151792280375957,4.756685574849446,0.575483500957489,0.19380000233650208,1.3132632970809937
resnet18,0.0001,kron,0.1,bridge,170,0.0348996818065643,0.0050597665831446,0.9907666643460592,0.0151792280375957,5.256181399027507,0.4951959252357483,0.38450000683466595,1.0820972124735515
resnet18,0.0001,kron,0.1,probit,15,2.1945319175720215,0.8791805704434713,0.9907000064849854,0.8772213061650594,2.206353505452474,0.8633206089337667,0.9735666513442993,0.8798141876856486
resnet18,0.0001,kron,0.1,probit,45,2.1945319175720215,0.8791805704434713,0.9907000064849854,0.8772213061650594,2.25585667292277,0.5233644247055054,0.6295333305994669,0.8903660376866659
resnet18,0.0001,kron,0.1,probit,80,2.1945319175720215,0.8791805704434713,0.9907000064849854,0.8772213061650594,2.2924644152323403,0.08630739897489544,0.19136666754881537,0.8979405959447225
resnet18,0.0001,kron,0.1,probit,170,2.1945319175720215,0.8791805704434713,0.9907000064849854,0.8772213061650594,2.281395196914673,0.28286303083101905,0.3894333342711131,0.8955275416374207
